rank of	rank:80,80,;
searching and	searching:63,111,63,108,111,;
through his	through:66,;
the discrete	the:97,97,;
their overall	their:102,;
showed the	showed:107,;
by a	by:68,77,94,68,77,;
operation sufficiently	operation:99,99,;
data access	data:108,108,;
that area	that:109,;
as units	as:109,;
article and	article:80,;
are extracted	are:77,104,;
movement the	movement:91,91,;
to share	to:90,90,;
distributed office	distributed:83,;
will operationalize	will:90,90,;
control before	control:58,58,;
result error	result:88,;
around adaption	around:70,70,;
sentence per	sentence:72,;
distinguish research	distinguish:48,;
hard force	hard:110,;
structure among	structure:58,58,;
skills from	skills:48,;
new type	new:54,75,75,;
collection consisted	collection:60,;
through citations	through:91,;
closely integrate	closely:76,;
record than	record:87,;
serve to	serve:101,101,;
libraries cost	libraries:15,;
field suppose	field:90,90,;
manner clearly	manner:90,90,;
technical journal	technical:44,;
utility weights	utility:102,;
hospital if	hospital:53,;
papers citing	papers:91,;
other symbols	other:38,;
with three	with:80,80,;
record of	record:73,73,;
is does	is:47,;
across a	across:83,83,;
dss simply	dss:70,70,;
concepts as	concepts:90,;
of 100	of:67,67,;
dss center	dss:70,70,;
to users	to:108,;
automate passage	automate:106,;
a reasonable	a:77,77,77,77,;
subject matters	subject:90,;
least retrieval	least:79,79,;
or effectiveness	or:105,105,;
medical literature	medical:52,55,52,55,;
may be	may:68,71,86,95,98,103,68,71,86,95,98,103,;
articles from	articles:1,;
be done	be:109,;
possible application	possible:55,;
involve with	involve:90,;
a user	a:59,59,;
case information	case:109,109,;
thereby gather	thereby:94,;
their meaning	their:75,;
the science	the:8,109,8,;
desire criterion	desire:97,;
system develop	system:85,;
libraries cope	libraries:45,;
then designed	then:70,;
method requires	method:59,;
these requests	these:98,;
information dissemination	information:30,35,30,35,;
the colon	the:106,106,106,106,106,106,;
provide information	provide:83,;
evaluate by	evaluate:67,;
the droop	the:80,80,;
alphabetically arrange	alphabetically:56,;
retrieval over	retrieval:60,60,;
control cost	control:87,;
libraries information	libraries:74,;
text analysius	text:71,71,;
dictionaries and	dictionaries:107,;
good deal	good:97,97,;
weighting system	weighting:102,;
base their	base:59,;
of viewing	of:82,;
consensus regard	consensus:90,;
model be	model:65,65,80,82,;
is introduced	is:82,;
interactive document	interactive:61,61,;
that help	that:61,;
base information	base:88,;
entire understanding	entire:75,75,;
approach that	approach:83,83,;
correct information	correct:89,;
to connect	to:109,109,;
normalization is	normalization:82,;
technology is	technology:66,;
not require	not:111,111,;
promotes integration	promotes:81,;
be path	be:91,;
as query	as:88,88,88,88,;
space be	space:64,64,;
describe information	describe:8,8,;
more refined	more:101,101,;
fact needs	fact:78,;
information be	information:106,;
terms into	terms:67,69,;
student or	student:42,42,;
weighting systems	weighting:102,;
documents returned	documents:93,;
be difficult	be:98,98,;
at stored	at:38,;
advances in	advances:100,;
how should	how:45,45,;
group be	group:90,91,;
evaluation mechanism	evaluation:96,97,97,97,;
attitude and	attitude:39,;
use not	use:102,102,;
products such	products:83,;
section number	section:67,67,;
software refles	software:94,94,;
within group	within:109,109,109,;
on test	on:59,59,;
and evaluate	and:63,;
redefining the	redefining:85,;
and semantic	and:71,71,;
create to	create:106,;
bringing the	bringing:92,;
editorial staff	editorial:69,69,;
that 121	that:91,91,;
get start	get:70,;
be represented	be:78,;
the rest	the:75,75,;
the question	the:76,88,88,76,88,88,;
parameters a	parameters:80,80,;
seen to	seen:63,86,86,;
task and	task:70,;
cite paper	cite:60,;
probabilities and	probabilities:86,;
characteristics but	characteristics:102,;
definition of	definition:38,85,90,85,90,;
improve the	improve:70,;
their titles	their:1,91,;
our case	our:57,;
from specialist	from:106,;
different people	different:72,;
output form	output:72,72,;
one weight	one:95,;
detail two	detail:73,73,;
confirm expectattion	confirm:91,;
outside the	outside:66,66,;
the semantic	the:85,90,85,90,;
index term	index:62,62,97,104,104,;
is reviewed	is:58,62,86,;
of maladjustment	of:39,39,;
measures producing	measures:60,;
five sets	five:71,;
systems did	systems:106,;
pre classified	pre:67,67,;
ca the	ca:67,67,;
desirable properties	desirable:62,;
a new	a:48,71,75,85,109,48,71,75,85,109,;
articles and	articles:80,;
a item	a:86,;
over a	over:60,60,;
equivalence or	equivalence:86,86,;
approximately to	approximately:59,59,;
viewing information	viewing:82,;
user oriented	user:85,;
analyzing subject	analyzing:109,;
printing original	printing:7,7,;
problem inherent	problem:96,;
boundary border	boundary:109,;
incorporate user	incorporate:107,;
global clustering	global:93,93,;
the united	the:58,76,58,76,;
comprehending nuances	comprehending:36,;
what program	what:39,;
expected behavior	expected:73,73,;
not covered	not:81,;
be concern	be:90,108,;
compuyter interface	compuyter:99,99,;
accesses is	accesses:73,;
on library	on:45,;
and others	and:83,;
are akin	are:91,;
have prove	have:107,;
described which	described:111,;
small dictionary	small:71,71,;
general library	general:32,;
a compressed	a:79,79,;
high level	high:110,110,;
itself to	itself:108,108,;
identify together	identify:112,;
a commercially	a:63,63,;
precision ratio	precision:59,;
house information	house:63,63,;
paper describe	paper:83,103,;
program package	program:81,81,;
of achieve	of:41,;
information center	information:69,69,;
records which	records:73,;
clerical effort	clerical:69,69,;
number of	number:68,68,71,73,78,78,80,80,81,92,95,101,103,104,68,68,71,73,78,78,80,80,81,92,95,101,104,;
experiment in	experiment:72,;
different picture	different:89,89,;
these networks	these:74,;
and methods	and:32,;
german as	german:88,88,;
document pairs	document:68,;
seem to	seem:47,97,109,47,109,;
derived for	derived:84,;
usl method	usl:88,;
sentences per	sentences:72,;
solve if	solve:49,;
identify paradigm	identify:90,;
efficient file	efficient:65,65,;
method relate	method:86,;
approximate matches	approximate:86,;
networks are	networks:66,;
map show	map:109,;
pertain to	pertain:90,;
concepts are	concepts:90,;
users were	users:99,;
new types	new:54,;
expectattion it	expectattion:91,;
the introduction	the:60,60,;
this indexing	this:52,52,;
concepts and	concepts:69,;
papers suppose	papers:90,;
use relevance	use:104,;
experiments on	experiments:61,;
print program	print:69,;
article concerns	article:62,;
information representation	information:71,71,;
c are	c:80,;
experiment on	experiment:61,93,93,;
provide the	provide:83,83,83,;
enter pair	enter:91,;
prove useful	prove:107,;
of clinical	of:53,53,;
of use	of:23,60,23,;
use and	use:50,50,;
words useful	words:37,;
data stream	data:83,;
text word	text:93,;
of natural	of:75,85,88,75,85,88,;
being given	being:98,;
as paper	as:91,;
for organize	for:37,;
for researcher	for:70,;
get at	get:38,;
many rally	many:70,;
journals and	journals:30,52,;
been found	been:40,;
script plan	script:75,;
used than	used:43,;
use any	use:70,;
public or	public:46,46,46,46,;
of primary	of:106,106,;
a more	a:80,97,80,97,;
being made	being:47,;
except for	except:72,72,;
and illustrate	and:85,;
partially specified	partially:79,;
be attribute	be:99,;
and inferences	and:75,;
international exchange	international:47,47,47,47,;
be measured	be:59,;
analytic model	analytic:70,;
relevant from	relevant:65,65,;
si language	si:91,91,;
number to	number:67,67,;
show compare	show:102,;
usually quote	usually:110,;
for organizing	for:37,;
undertake by	undertake:52,;
environment the	environment:81,94,110,110,;
a sound	a:82,82,;
automatically drawing	automatically:18,;
measure representing	measure:60,;
operational facility	operational:87,87,;
datum on	datum:89,;
networks and	networks:74,76,;
and complexity	and:98,98,;
five type	five:80,;
and practices	and:36,;
cumbersome and	cumbersome:105,105,;
distinguishing research	distinguishing:48,;
surveying techniques	surveying:86,;
publish mathematical	publish:80,;
of local	of:81,81,;
be well	be:93,93,;
a simple	a:73,85,99,73,85,99,;
future consideration	future:94,;
education materials	education:69,;
authors are	authors:109,;
classification procedures	classification:68,;
the individual	the:57,57,;
inquirer search	inquirer:61,;
directions for	directions:85,;
value of	value:80,107,107,80,107,107,;
give definition	give:3,;
scientific journal	scientific:12,;
be less	be:102,102,;
has difficulty	has:42,;
this information	this:65,65,;
author with	author:109,;
journal publish	journal:44,;
stations in	stations:16,;
concept data	concept:81,;
name index	name:73,;
various operation	various:87,;
limit of	limit:95,95,;
using recall	using:106,;
can provide	can:99,99,;
and sophisticated	and:61,100,61,100,;
problems in	problems:58,81,81,;
include managerial	include:70,70,;
query for	query:84,107,84,;
environment result	environment:84,;
the philosophy	the:98,98,;
its advantage	its:82,;
and projected	and:46,;
from one	from:36,40,36,40,;
review the	review:58,102,;
suggest that	suggest:61,68,80,;
objective evaluation	objective:13,13,;
but indicated	but:107,;
computers within	computers:70,;
retrieving papers	retrieving:91,;
that provides	that:83,;
to as	to:90,90,;
automation been	automation:53,;
the fact	the:112,112,;
si documents	si:91,;
present the	present:75,76,76,;
these comparisons	these:68,;
automating the	automating:110,110,;
compared to	compared:65,;
parse everything	parse:75,75,;
a early	a:93,;
biases are	biases:61,;
sets the	sets:62,;
coupling the	coupling:60,60,;
language base	language:88,;
528 database	528:92,;
what possibilities	what:6,9,;
consisted of	consisted:60,;
of clusters	of:111,;
are compared	are:79,112,;
forms for	forms:86,;
the index	the:97,104,97,104,;
compete with	compete:36,36,;
one national	one:36,36,;
problems of	problems:39,;
sciences but	sciences:49,;
new information	new:49,49,;
obtain a	obtain:90,;
office technology	office:110,110,110,110,;
same papers	same:60,90,;
be relevant	be:70,105,;
describe include	describe:66,;
various phase	various:69,;
in making	in:1,;
a special	a:46,80,81,46,80,81,;
be write	be:43,95,;
thesaurus entry	thesaurus:69,69,;
the way	the:61,89,61,89,;
no terms	no:68,;
node this	node:90,;
datum in	datum:107,;
for libraries	for:45,;
theoretic considerations	theoretic:96,;
are assigned	are:62,67,;
and costly	and:105,105,;
coding used	coding:34,;
satisfy and	satisfy:97,97,;
of handle	of:81,;
been used	been:49,102,;
for special	for:69,69,;
the economic	the:74,74,;
index terms	index:62,62,97,;
incremental and	incremental:85,85,;
bauer duncan	bauer:91,91,;
strings is	strings:86,;
retrieval relationally	retrieval:82,82,;
suggested to	suggested:84,;
ordering of	ordering:41,41,;
for which	for:107,107,;
iida is	iida:108,;
and improve	and:70,;
like the	like:18,18,;
online bibliographic	online:99,99,;
ease the	ease:69,;
be each	be:68,;
are based	are:102,;
be analyze	be:73,;
clustered file	clustered:111,111,;
in better	in:60,;
providing this	providing:24,;
the number	the:68,71,78,78,92,68,71,78,78,92,;
concept will	concept:90,;
as nodes	as:90,;
s distribution	s:80,84,80,84,;
a adaptive	a:70,;
truncation are	truncation:63,;
broad sense	broad:81,81,;
integrate a	integrate:87,;
assigned to	assigned:62,97,;
identifiable author	identifiable:109,109,;
major network	major:58,;
show 1	show:109,;
axes which	axes:109,;
the best	the:80,;
briefly review	briefly:86,102,;
be distinguished	be:64,;
aid in	aid:75,75,;
are altered	are:69,;
bring a	bring:58,;
that between	that:68,;
subject specialty	subject:109,;
particular field	particular:37,;
respectively each	respectively:80,80,;
discrete weight	discrete:97,;
other error	other:86,86,;
be understood	be:42,;
and how	and:45,45,49,63,45,45,49,63,;
of grouping	of:69,69,;
the success	the:74,74,;
a function	a:77,77,;
system permits	system:87,;
chemical compounds	chemical:18,;
modeling documents	modeling:91,;
user because	user:98,;
use what	use:53,;
any available	any:70,70,;
the characteristics	the:49,52,;
substantial and	substantial:71,71,;
of factoring	of:78,78,;
in actual	in:88,88,;
study be	study:107,;
reviewed and	reviewed:62,;
for various	for:87,87,;
specialty languages	specialty:88,88,;
input author	input:91,91,;
raw data	raw:109,;
associate data	associate:83,;
number be	number:69,;
retrieval algorithms	retrieval:101,;
catalog based	catalog:56,;
company and	company:110,;
easily made	easily:64,;
be economically	be:72,;
bibliographical database	bibliographical:82,82,;
name believe	name:91,;
which scheme	which:50,50,;
other area	other:109,;
library processes	library:46,;
formats dictionary	formats:63,;
architectures will	architectures:83,;
datum as	datum:2,;
than the	than:81,91,106,81,91,106,;
government business	government:48,48,;
either arranged	either:57,;
new developments	new:58,;
several year	several:92,;
equivalence problems	equivalence:86,;
full description	full:86,86,;
determines whether	determines:105,;
clinical record	clinical:53,53,53,;
datum be	datum:87,89,109,;
these search	these:104,;
whatever system	whatever:98,98,;
analyze the	analyze:87,;
briefly reviewed	briefly:86,102,;
state and	state:74,74,;
feedback based	feedback:108,;
obtained using	obtained:111,;
may constitute	may:100,100,;
are cited	are:109,;
appears most	appears:50,;
independent of	independent:111,111,;
approach have	approach:71,;
and dissemination	and:13,15,25,13,15,25,;
one weights	one:95,;
and landscape	and:64,;
substitution in	substitution:105,105,;
take from	take:90,;
measure base	measure:60,;
automated libraries	automated:15,;
simplified natural	simplified:99,99,;
implemented based	implemented:77,;
s science	s:108,108,;
analyze retrieval	analyze:97,;
careful not	careful:63,63,;
phase of	phase:69,;
authors and	authors:91,;
efficiency aspects	efficiency:65,;
secondary information	secondary:106,106,;
two dimension	two:18,;
are first	are:102,;
expressions the	expressions:96,;
affecting the	affecting:74,;
to situations	to:70,;
support systems	support:70,70,;
order in	order:111,111,;
recently automatic	recently:102,102,;
frequency based	frequency:102,;
the principles	the:78,;
distribute office	distribute:83,;
that those	that:109,;
led to	led:74,;
regarding online	regarding:89,;
not location	not:59,59,;
what attempts	what:44,;
using cocitation	using:60,;
is feasible	is:88,;
as opposed	as:2,83,102,106,;
an independent	an:85,;
give a	give:89,89,;
finish this	finish:70,;
databases records	databases:92,;
1 3000	1:93,;
maintenance of	maintenance:107,107,;
in 1979	in:92,92,;
in 1978	in:89,89,;
and speculations	and:94,;
device may	device:100,;
line arc	line:90,;
performance evaluation	performance:85,;
medical journals	medical:52,;
